joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6,joint_7,joint_8,joint_9,joint_10,joint_11,joint_12,joint_13,joint_14,joint_15,joint_16,joint_17,joint_18,joint_19,joint_20,joint_21,joint_22,joint_23,joint_24,joint_25,joint_26,joint_27,joint_28
-0.347660,-0.487097,0.125624,-0.074908,-0.585560,-0.031524,0.022900,-0.414709,0.224962,0.895616,1.404797,0.169210,0.601219,-0.432671,-0.331337,0.459515,-0.607071,0.115689,-0.012718,-0.233445,0.276703,1.051321,1.484147,-0.651081,0.677915,-0.037199,0.001729,0.345138,-0.258914
-0.319759,-0.465420,0.141998,-0.060254,-0.569075,-0.024453,-0.022264,-0.413482,0.219737,0.858466,1.281078,0.154673,0.572257,-0.418269,-0.298103,0.445418,-0.584110,0.094631,0.011414,-0.229847,0.282257,1.035281,1.479475,-0.629912,0.664169,-0.057184,0.018120,0.334782,-0.215648
-0.319759,-0.438348,0.151875,-0.048364,-0.554703,-0.016674,-0.072244,-0.420139,0.212354,0.842320,1.166203,0.133801,0.531064,-0.411631,-0.253924,0.426250,-0.556057,0.069656,0.039478,-0.242529,0.329317,1.026494,1.476507,-0.615388,0.643984,-0.068979,0.037454,0.308259,-0.188769
-0.327352,-0.410053,0.159237,-0.039292,-0.540986,-0.008664,-0.124740,-0.425114,0.206747,0.835416,1.061548,0.111407,0.488753,-0.410866,-0.216019,0.407162,-0.528672,0.043168,0.063088,-0.260211,0.380799,1.019824,1.469605,-0.601160,0.622777,-0.077524,0.051932,0.284059,-0.169786
-0.348484,-0.379312,0.161567,-0.035854,-0.528580,-0.000196,-0.182268,-0.426723,0.206747,0.846999,0.977336,0.085968,0.444206,-0.421847,-0.190666,0.388234,-0.502621,0.013655,0.077789,-0.287890,0.441128,1.017390,1.454837,-0.587523,0.599531,-0.079570,0.056696,0.264504,-0.166594
-0.378992,-0.345282,0.163589,-0.035218,-0.518160,0.006577,-0.235208,-0.430653,0.210996,0.881482,0.919161,0.058740,0.396719,-0.440852,-0.170067,0.371280,-0.482686,-0.015667,0.092765,-0.320183,0.497493,1.018966,1.437361,-0.570635,0.577597,-0.077577,0.052671,0.247967,-0.170145
-0.414189,-0.309607,0.165458,-0.035218,-0.508732,0.012501,-0.285855,-0.435744,0.218397,0.927416,0.874004,0.030616,0.347763,-0.463869,-0.151844,0.355312,-0.465810,-0.044894,0.107878,-0.354783,0.551875,1.022547,1.418532,-0.552121,0.556320,-0.073566,0.044251,0.232941,-0.177066
-0.459299,-0.280198,0.167637,-0.042303,-0.497262,0.011681,-0.331965,-0.439464,0.231406,1.007808,0.867153,0.008595,0.295581,-0.505272,-0.116358,0.346270,-0.465810,-0.074481,0.168510,-0.384986,0.589225,1.024685,1.394848,-0.519538,0.539661,-0.062974,0.005138,0.218805,-0.180728
-0.499977,-0.253435,0.170093,-0.044750,-0.482058,0.008518,-0.376691,-0.445199,0.245959,1.085806,0.876045,-0.005720,0.247288,-0.547382,-0.117999,0.342614,-0.472603,-0.106243,0.219506,-0.409679,0.618671,1.018331,1.367016,-0.489803,0.526983,-0.053185,-0.035440,0.207980,-0.179501
-0.531793,-0.231960,0.173103,-0.038939,-0.459383,0.001493,-0.418651,-0.454968,0.263600,1.159014,0.916423,-0.005720,0.206774,-0.590905,-0.193895,0.349730,-0.493939,-0.142356,0.251226,-0.423351,0.632315,0.994992,1.330889,-0.465762,0.522270,-0.045002,-0.078946,0.203780,-0.168494
-0.554917,-0.216863,0.174107,-0.030598,-0.443083,-0.009614,-0.449979,-0.460395,0.280007,1.227195,0.968540,0.003117,0.171400,-0.631630,-0.285288,0.364302,-0.521874,-0.173807,0.261800,-0.436582,0.637436,0.974070,1.302200,-0.446826,0.518864,-0.037865,-0.114971,0.200916,-0.157385
-0.573693,-0.204956,0.175060,-0.020992,-0.429971,-0.022763,-0.475990,-0.463651,0.295798,1.292861,1.026526,0.015822,0.138597,-0.670955,-0.384427,0.382601,-0.553107,-0.202925,0.261800,-0.449592,0.638010,0.954358,1.277230,-0.430444,0.516113,-0.031252,-0.147255,0.198722,-0.146224
-0.596502,-0.229450,0.175060,-0.011656,-0.426884,-0.033884,-0.493468,-0.447846,0.306518,1.364437,1.112348,0.023752,0.111917,-0.712589,-0.458917,0.409900,-0.598944,-0.223589,0.261800,-0.477693,0.646494,0.957696,1.267621,-0.420802,0.516113,-0.025978,-0.171987,0.190406,-0.141664
-0.609915,-0.252682,0.174781,-0.000640,-0.422728,-0.044330,-0.504239,-0.427078,0.318431,1.425574,1.187466,0.026947,0.087642,-0.747687,-0.516926,0.434365,-0.643945,-0.238776,0.261800,-0.513214,0.655376,0.977582,1.259498,-0.415203,0.518719,-0.022929,-0.192702,0.178875,-0.141778
-0.604533,-0.273393,0.174781,0.013733,-0.416434,-0.053426,-0.501594,-0.396386,0.332728,1.465832,1.241174,0.020670,0.068177,-0.769712,-0.541970,0.453157,-0.687272,-0.243008,0.261800,-0.563578,0.665053,1.030562,1.254351,-0.417691,0.525521,-0.024330,-0.205382,0.160917,-0.151240
-0.590703,-0.288233,0.164141,0.033242,-0.404828,-0.065084,-0.489546,-0.368483,0.338456,1.479493,1.261145,0.013059,0.050879,-0.782943,-0.549032,0.460975,-0.723009,-0.242783,0.261800,-0.620732,0.666229,1.102165,1.241914,-0.421236,0.535057,-0.027325,-0.214228,0.134912,-0.167883
-0.572649,-0.300138,0.149257,0.055318,-0.390567,-0.078024,-0.472797,-0.341975,0.339899,1.479735,1.264247,0.004781,0.034664,-0.791776,-0.547104,0.463305,-0.754950,-0.240329,0.261800,-0.681278,0.663154,1.183080,1.225833,-0.425308,0.545960,-0.031116,-0.221156,0.104885,-0.188117
-0.547020,-0.301394,0.114468,0.080825,-0.365897,-0.092943,-0.447192,-0.322076,0.328048,1.440983,1.214111,0.011807,0.012490,-0.782098,-0.516200,0.451885,-0.763933,-0.231968,0.261800,-0.725491,0.639076,1.253333,1.197083,-0.417990,0.548187,-0.024919,-0.217765,0.070027,-0.204621
-0.515905,-0.299135,0.078235,0.107319,-0.339052,-0.107126,-0.414857,-0.300328,0.314236,1.389706,1.148012,0.021667,-0.008587,-0.765121,-0.472675,0.437074,-0.767144,-0.220158,0.261800,-0.760502,0.608134,1.317309,1.159909,-0.411354,0.542141,-0.014377,-0.206610,0.032190,-0.218434
-0.473815,-0.289847,0.039115,0.135790,-0.307859,-0.119834,-0.369063,-0.274881,0.296501,1.313379,1.049987,0.037196,-0.027471,-0.733546,-0.403906,0.415479,-0.758813,-0.201446,0.261800,-0.777110,0.563462,1.368730,1.105889,-0.406083,0.519550,0.004855,-0.179928,-0.011605,-0.226865
