joint_vel_0,joint_vel_1,joint_vel_2,joint_vel_3,joint_vel_4,joint_vel_5,joint_vel_6,joint_vel_7,joint_vel_8,joint_vel_9,joint_vel_10,joint_vel_11,joint_vel_12,joint_vel_13,joint_vel_14,joint_vel_15,joint_vel_16,joint_vel_17,joint_vel_18,joint_vel_19,joint_vel_20,joint_vel_21,joint_vel_22,joint_vel_23,joint_vel_24,joint_vel_25,joint_vel_26,joint_vel_27,joint_vel_28
-2.405034,0.191909,-0.262149,0.867659,0.504160,0.148100,-0.389848,-0.303994,-0.259164,9.912819,0.904614,5.991148,6.775725,-1.447836,-0.334695,0.851633,-1.119706,0.604313,-0.470238,4.927539,-6.204597,0.822553,-0.650615,-8.833981,12.529547,-0.907417,-1.484380,6.971964,-2.442014
-2.233860,0.317134,-0.234266,0.586962,0.494343,-0.076474,-0.540110,-0.186552,-0.592308,9.958280,0.436884,6.893340,7.713859,-1.488753,-0.083761,1.180067,-1.443699,0.480846,-0.514930,6.452412,-7.423839,-0.261191,-2.904710,-10.467291,13.501305,-1.418367,-1.293175,7.743420,-3.676790
-1.937175,0.607729,0.077509,0.167871,0.397745,-0.540549,0.000000,0.149710,-0.932609,8.062750,-1.836118,6.772348,6.743281,-0.845338,1.279312,1.746987,-2.075476,0.884743,-0.452498,8.521527,-8.748592,-2.637523,-3.254768,-4.590464,3.519875,-2.476233,-0.730807,4.669060,-1.559812
-1.962996,0.816470,0.244123,-0.104101,0.339641,-0.633952,0.007412,0.254460,-0.903440,7.140970,-2.743611,5.980600,6.031017,-0.590393,1.801013,2.142802,-2.525629,0.814852,-0.326696,7.882340,-8.307758,-2.616599,-2.553693,-2.858716,1.716018,-2.249607,-0.433650,3.848892,-1.020524
-2.014583,1.233932,0.577347,-0.648040,0.223428,-0.820747,0.164065,0.463957,-0.845087,5.297267,-4.558554,4.396984,4.606375,-0.080487,2.844399,2.934384,-3.425893,0.675057,-0.075086,6.603825,-7.425934,-2.574697,-1.151502,0.604838,-1.891690,-1.796313,0.160666,2.208489,0.000000
-1.972669,2.248393,0.856414,-0.944629,0.162099,-0.892971,0.480910,0.654680,-0.822917,3.274012,-6.941465,2.885109,3.418559,0.105679,3.863978,3.744063,-4.359909,0.594330,0.084236,5.724806,-6.690523,-2.624893,0.136113,2.424407,-3.177130,-1.448928,0.421911,1.517510,-0.016722
-1.951721,2.755648,0.995956,-1.092930,0.131435,-0.929089,0.639339,0.750045,-0.811832,2.262402,-8.132977,2.173641,2.824661,0.198776,4.373807,4.148933,-4.826951,0.553972,0.163898,5.285326,-6.322855,-2.650008,0.779933,3.334224,-3.819865,-1.275241,0.552537,1.172018,-0.036076
-1.900077,2.862180,1.353631,-1.193742,-0.853155,-1.395751,1.801783,0.762840,-0.932702,-0.817716,-7.825626,0.000000,1.235539,0.171858,3.107547,5.568034,-6.762976,0.067245,1.224177,3.887528,-4.708716,-2.314076,2.456305,4.452414,-4.420334,-0.755498,0.755200,0.489745,-0.704738
-1.786676,2.335749,1.263851,-1.044298,-0.820597,-1.193726,1.524856,0.347261,-0.929450,-1.814818,-5.439666,-0.849617,0.359860,0.043082,1.741589,6.079200,-7.532207,0.022325,0.894407,3.199157,-3.674027,-2.049172,2.718166,4.503495,-4.245359,-0.591628,0.723342,0.297022,-0.831735
-1.559848,1.282850,1.084276,-0.745393,-0.755469,-0.789663,0.970978,-0.483894,-0.922938,-3.809035,-0.667645,-2.682239,-1.391494,-0.214475,-0.990367,7.101452,-9.070584,-0.067516,0.234850,1.822343,-1.604575,-1.519345,3.241855,4.605621,-3.895369,-0.263880,0.659616,0.000000,-1.085699
-0.943977,0.889593,0.527700,-0.589766,-0.208655,-0.332878,0.347737,-0.004207,-0.866779,-5.628431,2.520944,-4.888728,-4.560962,-0.302899,-1.217196,6.806139,-9.413231,-0.320142,-0.108594,-0.802386,2.175146,-1.732600,2.681771,4.503644,-3.304309,0.254698,0.670816,-0.029472,-0.875598
-0.636065,0.692978,0.249425,-0.511962,0.000000,-0.104492,0.000000,0.235634,-0.838712,-6.538183,4.115246,-5.992024,-6.145728,-0.347114,-1.330626,6.658578,-9.584678,-0.446458,-0.280315,-2.114719,4.064998,-1.839250,2.401769,4.452705,-3.008813,0.513996,0.676423,0.000000,-0.770545
0.296959,1.557571,-0.401770,-0.697426,1.078686,-0.102439,-0.092506,1.748691,-0.432573,-8.496469,3.404124,-7.697884,-8.127189,-0.359416,0.136875,2.287126,-3.348988,-0.548073,0.636930,-4.839519,6.306538,-4.261482,-3.146189,3.862303,-2.325135,1.454386,1.013323,-0.197366,-0.064415
0.533944,1.954402,-0.580843,-0.939867,0.609132,-0.442274,0.187070,1.338303,-0.391925,-9.523005,1.697835,-7.958747,-8.337238,-0.197217,-1.606386,0.874877,-1.625931,-0.337546,0.237380,-5.810860,6.936631,-4.299139,-3.804940,3.978804,-2.433664,1.808476,1.138762,-0.380629,0.030965
1.007944,2.748105,-0.938996,-1.424773,-0.243666,-1.121966,0.794400,0.517518,-0.310633,-11.576295,-1.714779,-8.480616,-8.757482,0.127178,-5.093022,-1.949596,1.820153,0.083512,-0.561746,-7.753653,8.196944,-4.374488,-5.122474,4.211912,-2.650791,2.516700,1.389656,-0.779516,0.221682
2.784854,2.098835,-1.158033,-0.851810,0.685842,0.177059,-0.064671,-0.379795,-0.022690,-14.035592,-2.331689,-7.252028,-8.094054,0.735363,-2.755347,-2.795786,3.083140,-0.080224,-0.706909,-7.651940,7.846522,-1.400321,-3.544652,6.491694,-3.945261,4.130121,2.235529,-1.215863,0.289723
3.673276,1.774188,-1.267544,-0.565325,1.150589,0.826566,-0.494207,-0.828446,0.121281,-15.265152,-2.640134,-6.637691,-7.762294,1.039451,-1.586498,-3.218859,3.714591,-0.162093,-0.779484,-7.601036,7.671262,0.086763,-2.755725,7.631549,-4.592475,4.936802,2.658450,-1.434037,0.323731
4.690442,1.076702,-0.611696,0.767072,2.368471,2.521794,-2.219813,-0.681280,1.045449,-13.952684,-0.351331,-4.808521,-6.739063,2.043501,-0.296296,-3.301191,4.795224,-2.408187,-0.660006,-6.499131,6.906454,4.724717,0.520688,3.725272,-1.882009,2.110940,1.275570,-1.362053,0.567651
